trial,combined_final_avg,combined_best_val_avg,per_object_final,per_object_best_val,params
22,1.8361402322438745,1.8465201322815352,"[1.9099457313472725, 1.842760839704834, 1.7557141256795168]","[1.9350601409004766, 1.8436278105184634, 1.7608724454256661]","{'cx_lr': 0.0016379926630697313, 'cx_lambda_intensity': 7.4810315610831015, 'cx_lambda_binary': 0.1584392283422144, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 73, 'cx_blender_loss_weight': 2.5611826535571782}"
26,1.8355341986707883,1.8353910699085316,"[1.9442795077399886, 1.8142924694198088, 1.7480306188525676]","[1.9442766183803855, 1.8140702360638388, 1.7478263552813704]","{'cx_lr': 0.0017862197396073401, 'cx_lambda_intensity': 5.801393659459869, 'cx_lambda_binary': 0.5665186305799599, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 48, 'cx_blender_loss_weight': 3.1410231782690996}"
64,1.835503814528418,1.8372020646035434,"[1.9306952438611065, 1.8432344385556738, 1.7325817611684735]","[1.935877795212412, 1.8432499209537525, 1.7324784776444662]","{'cx_lr': 0.0018342587531517123, 'cx_lambda_intensity': 5.203631757940704, 'cx_lambda_binary': 0.2403564822565522, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 27, 'cx_blender_loss_weight': 3.947020369216538}"
83,1.831237160498287,1.8340771453054554,"[1.9292946466946623, 1.840171029689286, 1.7242458051109124]","[1.9378772994941966, 1.8401156112730008, 1.724238525149169]","{'cx_lr': 0.0017078244119088277, 'cx_lambda_intensity': 5.983688451061592, 'cx_lambda_binary': 0.12690929439804607, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 27, 'cx_blender_loss_weight': 3.7571374504069803}"
23,1.822205912746406,1.8346293754674015,"[1.8977015280814793, 1.8225923551583874, 1.7463238549993514]","[1.9298608596207436, 1.827047016136229, 1.746980250645231]","{'cx_lr': 0.0018292204030782625, 'cx_lambda_intensity': 7.1799806553244885, 'cx_lambda_binary': 0.14300450274569698, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 77, 'cx_blender_loss_weight': 2.712408048969837}"
81,1.8216293196712765,1.8240951631993034,"[1.9287586081780448, 1.794595726658982, 1.7415336241768027]","[1.9361675775305103, 1.7946046079068843, 1.7415133041605155]","{'cx_lr': 0.0016752848066468858, 'cx_lambda_intensity': 5.325886112451192, 'cx_lambda_binary': 0.16842085153067482, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 25, 'cx_blender_loss_weight': 1.9693095006538093}"
12,1.8185797122225071,1.8404955151351807,"[1.8714380767477168, 1.8365512364534944, 1.74774982346631]","[1.9346628432702793, 1.8376247785786557, 1.7491989235566077]","{'cx_lr': 0.0014520084817631056, 'cx_lambda_intensity': 6.036557046444564, 'cx_lambda_binary': 0.10258379202471704, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 57, 'cx_blender_loss_weight': 2.2008892619509393}"
14,1.8146971632471527,1.835501277459188,"[1.9229614176747687, 1.846391517958513, 1.6747385541081767]","[1.9421058510661093, 1.846544548635452, 1.7178534326760024]","{'cx_lr': 0.0009889749395716695, 'cx_lambda_intensity': 1.055591399705954, 'cx_lambda_binary': 0.12765549444305685, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 64, 'cx_blender_loss_weight': 0.5432100882933849}"
18,1.8136649258715156,1.8319581822400295,"[1.9281664904317886, 1.8358963830120514, 1.6769319041707071]","[1.9421247310320344, 1.8358963830120514, 1.7178534326760024]","{'cx_lr': 0.000992471239346138, 'cx_lambda_intensity': 4.266983880407722, 'cx_lambda_binary': 0.21757518749883123, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 67, 'cx_blender_loss_weight': 0.73829221871007}"
68,1.813031269638092,1.8309443872364302,"[1.945852421041372, 1.829647076102467, 1.6635943117704368]","[1.9463930148563808, 1.8297929430208426, 1.7166472038320668]","{'cx_lr': 0.002358835282137067, 'cx_lambda_intensity': 6.083106578719806, 'cx_lambda_binary': 0.6804911949919603, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 32, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 26, 'cx_blender_loss_weight': 3.927729391236318}"
63,1.812712966311136,1.8399236820666711,"[1.8528155642002753, 1.8399367470497086, 1.745386587683424]","[1.9358537628511627, 1.8381346550984268, 1.7457826282504234]","{'cx_lr': 0.0015114983679860776, 'cx_lambda_intensity': 5.264985829770681, 'cx_lambda_binary': 0.13801331341509088, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 31, 'cx_blender_loss_weight': 2.041873703397232}"
62,1.8124745184619977,1.8238428310845054,"[1.9258493785039466, 1.8124878722830242, 1.6990863045990225]","[1.941433306935311, 1.812241753642203, 1.7178534326760024]","{'cx_lr': 0.0014369138289451004, 'cx_lambda_intensity': 3.33714926327332, 'cx_lambda_binary': 0.13982810017136849, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 30, 'cx_blender_loss_weight': 2.0954792131902247}"
76,1.8122476795980649,1.8235121723787886,"[1.9132846171087932, 1.8122933018238303, 1.7111651198615712]","[1.9415096190377668, 1.812391024359367, 1.7166358737392318]","{'cx_lr': 0.0009857393162204325, 'cx_lambda_intensity': 4.521288841552779, 'cx_lambda_binary': 0.26547907083843497, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 51, 'cx_blender_loss_weight': 3.9026194197839708}"
45,1.8117676291777485,1.8216995610562126,"[1.9351540894094008, 1.7957968607319374, 1.7043519373919067]","[1.951450981408092, 1.7957942690845434, 1.7178534326760024]","{'cx_lr': 0.000842301985420388, 'cx_lambda_intensity': 3.3972275930179348, 'cx_lambda_binary': 0.19099838275990091, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 41, 'cx_blender_loss_weight': 2.126884899726675}"
55,1.8053980274418207,1.8169965304348168,"[1.923032006049601, 1.778158609577687, 1.7150034666981742]","[1.9405262513154033, 1.7784375211589496, 1.7320258188300972]","{'cx_lr': 0.001258091512395799, 'cx_lambda_intensity': 5.625025618365402, 'cx_lambda_binary': 0.1389331325284135, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 48, 'cx_blender_loss_weight': 0.7220017860203246}"
54,1.8044728076608763,1.823109030087496,"[1.9402973931058884, 1.789399116214509, 1.6837219136622315]","[1.9433827180695966, 1.7913485897665549, 1.7345957824263365]","{'cx_lr': 0.0018146670394931072, 'cx_lambda_intensity': 1.1743663473296002, 'cx_lambda_binary': 0.36334566856935263, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 52, 'cx_blender_loss_weight': 0.8582927590712354}"
71,1.802194701841808,1.8282784094348827,"[1.9426781076797526, 1.8217937796365562, 1.6421122182091155]","[1.9470879616509493, 1.8211000628216318, 1.7166472038320668]","{'cx_lr': 0.002468247354318229, 'cx_lambda_intensity': 5.752225121212375, 'cx_lambda_binary': 0.7178531417420707, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 32, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 24, 'cx_blender_loss_weight': 4.063889432250634}"
27,1.797978877848414,1.823457641893306,"[1.8003550655998386, 1.848038117220141, 1.7455434507252623]","[1.871664683253465, 1.8511515517395614, 1.747556690686892]","{'cx_lr': 0.0050366068267314055, 'cx_lambda_intensity': 9.291939457127253, 'cx_lambda_binary': 0.7353529204882638, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 76, 'cx_blender_loss_weight': 3.381328798040761}"
3,1.7975009958423478,1.819089694794549,"[1.9342672057755639, 1.7911804629105468, 1.6670553188409327]","[1.9482521875304364, 1.7911634641772076, 1.7178534326760024]","{'cx_lr': 0.0007227026782290212, 'cx_lambda_intensity': 34.48436901528816, 'cx_lambda_binary': 7.293851760668589, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 56, 'cx_blender_loss_weight': 1.5112348014192742}"
58,1.7969365942823305,1.8428149631790365,"[1.9391578877198998, 1.7973722744849583, 1.654279620642133]","[1.961022429186241, 1.8504946743280604, 1.7169277860228083]","{'cx_lr': 0.002304059371041871, 'cx_lambda_intensity': 8.475941808768956, 'cx_lambda_binary': 0.1810475769449984, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 16, 'cx_hidden': 32, 'cx_n_layers': 4, 'cx_use_lr_decay': True, 'cx_tol': 42, 'cx_blender_loss_weight': 0.4931597962209053}"
82,1.7962866966182298,1.829595619699079,"[1.9071437785784078, 1.8361922226614138, 1.6455240886148679]","[1.936863602199609, 1.8340698242216258, 1.7178534326760024]","{'cx_lr': 0.0011389132317264742, 'cx_lambda_intensity': 5.015065888116133, 'cx_lambda_binary': 0.16881179087996864, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 26, 'cx_blender_loss_weight': 1.754287641874705}"
61,1.7939351348312966,1.8155735098966395,"[1.9282133860194297, 1.7811105773168912, 1.672481441157569]","[1.9480422520549803, 1.7808248449589361, 1.7178534326760024]","{'cx_lr': 0.0010392739069278029, 'cx_lambda_intensity': 6.202644324327129, 'cx_lambda_binary': 0.18720067359287448, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 41, 'cx_blender_loss_weight': 2.2698691686923462}"
50,1.790565393410476,1.8290878518085167,"[1.8688119784550028, 1.8499208107965939, 1.652963390979831]","[1.919434915462969, 1.8499752072865792, 1.7178534326760024]","{'cx_lr': 0.001224854110681168, 'cx_lambda_intensity': 42.36175611169721, 'cx_lambda_binary': 4.614943337053337, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': False, 'cx_tol': 63, 'cx_blender_loss_weight': 0.2972998191697638}"
30,1.7885733256463663,1.823848425078416,"[1.9063672668837497, 1.7882574175404895, 1.6710952925148592]","[1.9208999185136424, 1.8341717914648303, 1.7164735652567749]","{'cx_lr': 0.0015718433942343462, 'cx_lambda_intensity': 2.8691621407984744, 'cx_lambda_binary': 1.0318752869811956, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 8, 'cx_hidden': 32, 'cx_n_layers': 3, 'cx_use_lr_decay': True, 'cx_tol': 96, 'cx_blender_loss_weight': 1.8810477338627138}"
38,1.7880930993473347,1.8076511373679462,"[1.8681633632363797, 1.8180282810484782, 1.678087653757146]","[1.88582243950508, 1.8192775399227563, 1.7178534326760024]","{'cx_lr': 0.004454192862961706, 'cx_lambda_intensity': 2.951209219174328, 'cx_lambda_binary': 0.3912070941137467, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': False, 'cx_tol': 58, 'cx_blender_loss_weight': 4.913381326243107}"
70,1.786616420890228,1.8277559090487114,"[1.946869881046522, 1.7746157234594961, 1.6383636581646663]","[1.9525531008991592, 1.8136049953359248, 1.7171096309110503]","{'cx_lr': 0.0006372265150344598, 'cx_lambda_intensity': 10.49002463351704, 'cx_lambda_binary': 0.3456847985678566, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 8, 'cx_hidden': 128, 'cx_n_layers': 3, 'cx_use_lr_decay': True, 'cx_tol': 55, 'cx_blender_loss_weight': 4.79106872270788}"
41,1.7817124648740394,1.812342074900685,"[1.8143065646957153, 1.843743968529294, 1.687086861397109]","[1.871664683253465, 1.847508108772588, 1.7178534326760024]","{'cx_lr': 0.0010989084219266536, 'cx_lambda_intensity': 1.5631738996925963, 'cx_lambda_binary': 0.13132218318889635, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 62, 'cx_blender_loss_weight': 0.23135372518207095}"
15,1.7813851043800095,1.8047841286960533,"[1.9283247346407377, 1.7568708578989853, 1.6589597206003053]","[1.9399308933367716, 1.7565680600753857, 1.7178534326760024]","{'cx_lr': 0.0018342392847155685, 'cx_lambda_intensity': 1.0999175668865684, 'cx_lambda_binary': 0.10164639408935315, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 68, 'cx_blender_loss_weight': 0.43231301322322635}"
25,1.7813324886673152,1.8403649626586143,"[1.894006172756151, 1.8179669808526802, 1.632024312393114]","[1.9394177992622628, 1.8651105746670895, 1.7165665140464905]","{'cx_lr': 0.0033073845118963175, 'cx_lambda_intensity': 11.876750694196756, 'cx_lambda_binary': 0.3108910151695261, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 16, 'cx_hidden': 32, 'cx_n_layers': 3, 'cx_use_lr_decay': True, 'cx_tol': 93, 'cx_blender_loss_weight': 2.3247472644373914}"
31,1.7813123141473097,1.8014970664881622,"[1.9034795965557634, 1.7411221863511062, 1.6993351595350594]","[1.934742814085987, 1.7518949527024972, 1.7178534326760024]","{'cx_lr': 0.0015663371996382806, 'cx_lambda_intensity': 6.280522701259981, 'cx_lambda_binary': 0.1634312032387992, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 56, 'cx_blender_loss_weight': 1.883437643594308}"
77,1.7813102893077373,1.793502064600742,"[1.936180803408915, 1.6969707004172112, 1.7107793640970854]","[1.9386064193667822, 1.7311534757268408, 1.710746298708603]","{'cx_lr': 0.001504584946401195, 'cx_lambda_intensity': 3.6903679947775276, 'cx_lambda_binary': 1.6586929198176343, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 32, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 36, 'cx_blender_loss_weight': 2.5464339428484726}"
65,1.7804110785140583,1.8337644911751017,"[1.7617634546223573, 1.8305977984533326, 1.7488719824664847]","[1.9222210703688605, 1.8302822533811103, 1.7487901497753335]","{'cx_lr': 0.0019073622484343266, 'cx_lambda_intensity': 7.050149213872478, 'cx_lambda_binary': 0.2432432177150471, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 69, 'cx_blender_loss_weight': 4.0901509112015155}"
51,1.7792355896593837,1.81667447832694,"[1.8881885462792658, 1.7878094827638007, 1.6617087399350852]","[1.9416237057058698, 1.790546296598948, 1.7178534326760024]","{'cx_lr': 0.0010234450391070262, 'cx_lambda_intensity': 4.317053880113118, 'cx_lambda_binary': 0.19366192283047118, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 68, 'cx_blender_loss_weight': 0.695921096297938}"
84,1.7791261765591029,1.8427315381672116,"[1.7647480492682779, 1.8132936484808253, 1.7593368319282052]","[1.9320934802759795, 1.8366431386195243, 1.7594579956061307]","{'cx_lr': 0.0017660078462342166, 'cx_lambda_intensity': 7.922737756079067, 'cx_lambda_binary': 0.12719298946836274, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 56, 'cx_blender_loss_weight': 2.7628669463798023}"
47,1.7775686032290927,1.8179755299511697,"[1.9258863087353546, 1.7845204293067451, 1.6222990716451777]","[1.9317872979047364, 1.8042559579384423, 1.7178833340103308]","{'cx_lr': 0.001674707839745778, 'cx_lambda_intensity': 7.636776830470646, 'cx_lambda_binary': 0.10073279882778095, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 32, 'cx_n_layers': 3, 'cx_use_lr_decay': True, 'cx_tol': 87, 'cx_blender_loss_weight': 1.752064716099535}"
13,1.7752600818695956,1.8012633963759328,"[1.9338066512485597, 1.7393633806642919, 1.6526102136959353]","[1.9453886873919157, 1.7405480690598807, 1.7178534326760024]","{'cx_lr': 0.0008208320333670982, 'cx_lambda_intensity': 19.935695148960136, 'cx_lambda_binary': 1.2122209841007416, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 58, 'cx_blender_loss_weight': 2.3961607128220503}"
53,1.7738814203731625,1.8246764886469118,"[1.7977882931003664, 1.8436473671414195, 1.6802086008777022]","[1.9120117301631505, 1.8441643031015829, 1.7178534326760024]","{'cx_lr': 0.0007160398666021318, 'cx_lambda_intensity': 4.05389785701103, 'cx_lambda_binary': 0.21634453457676917, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 59, 'cx_blender_loss_weight': 0.5835883903566056}"
21,1.773795388947578,1.824254070275824,"[1.8623163226783899, 1.817896552360355, 1.6411732918039885]","[1.9368764002412195, 1.81803237791025, 1.7178534326760024]","{'cx_lr': 0.0009734036263668034, 'cx_lambda_intensity': 3.9404030038475386, 'cx_lambda_binary': 0.26788804987565157, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 65, 'cx_blender_loss_weight': 0.8289834179650211}"
57,1.7655655747936043,1.8287635216512654,"[1.751466428400672, 1.8583373126108669, 1.6868929833692738]","[1.9082078761312609, 1.8602292561465328, 1.7178534326760024]","{'cx_lr': 0.0008623710426548379, 'cx_lambda_intensity': 2.4983505553189747, 'cx_lambda_binary': 0.11503893325932753, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 75, 'cx_blender_loss_weight': 0.35494868859853074}"
34,1.7650324201151164,1.8216849240076103,"[1.8592675272538355, 1.8233752374425538, 1.6124544956489597]","[1.9243182692141048, 1.8228830701327234, 1.7178534326760024]","{'cx_lr': 0.0014248124180455146, 'cx_lambda_intensity': 6.951182362200278, 'cx_lambda_binary': 0.245789040625936, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 71, 'cx_blender_loss_weight': 1.2315799899369695}"
60,1.758772023841544,1.8229543035873494,"[1.8502503667829844, 1.8224995992908495, 1.6035661054507981]","[1.924746304090914, 1.8262631739951316, 1.7178534326760024]","{'cx_lr': 0.0038929469633887537, 'cx_lambda_intensity': 3.43830197668555, 'cx_lambda_binary': 0.9183057490558386, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 81, 'cx_blender_loss_weight': 2.5452943086432893}"
85,1.7574606442558522,1.8397995600283135,"[1.8922135997307952, 1.788944516630505, 1.591223816406257]","[1.944497873195416, 1.85742353531719, 1.7174772715723343]","{'cx_lr': 0.0007857432550153132, 'cx_lambda_intensity': 5.777395277586909, 'cx_lambda_binary': 0.11118788258295088, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 16, 'cx_hidden': 64, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 34, 'cx_blender_loss_weight': 1.4743932470632457}"
16,1.7560827678821411,1.8436024639169333,"[1.8359386916928355, 1.8133511253932926, 1.6189584865602953]","[1.939089048097213, 1.8751518296070964, 1.7165665140464905]","{'cx_lr': 0.0036222800917890697, 'cx_lambda_intensity': 3.6727065939631243, 'cx_lambda_binary': 0.10084935850272078, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 16, 'cx_hidden': 32, 'cx_n_layers': 3, 'cx_use_lr_decay': True, 'cx_tol': 44, 'cx_blender_loss_weight': 0.5997344739721276}"
74,1.7480792902490012,1.8245369506254114,"[1.7990857798702922, 1.8174383265005791, 1.6277137643761324]","[1.8930531143281506, 1.8639105337160167, 1.7166472038320668]","{'cx_lr': 0.0038915386829362422, 'cx_lambda_intensity': 6.391914140212499, 'cx_lambda_binary': 0.11721239700633869, 'cx_generator': 'shared_mlp', 'cx_noise_dim': 4, 'cx_hidden': 32, 'cx_n_layers': 2, 'cx_use_lr_decay': True, 'cx_tol': 76, 'cx_blender_loss_weight': 2.9023766553419166}"
