trial,combined_final_avg,combined_best_val_avg,per_object_final,per_object_best_val,params
39,1.8410888148299571,1.8412574584363153,"[1.9286921980252498, 1.8505849451046754, 1.743989301359946]","[1.9291972065589564, 1.8505849451046754, 1.7439902236453138]","{'rf_lr': 1.4138878516685303e-06, 'rf_lambda_intensity': 22.08453213662722, 'rf_lambda_binary': 0.5875335449769012, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 81, 'rf_blender_loss_weight': 0.12302694333443927}"
43,1.841053997026852,1.8412185000023207,"[1.928699420710476, 1.8504237253152662, 1.7440388450548139]","[1.9291929296368813, 1.8504237253152662, 1.7440388450548139]","{'rf_lr': 1.5170174692701607e-06, 'rf_lambda_intensity': 15.090327152958572, 'rf_lambda_binary': 0.2668505043818834, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 91, 'rf_blender_loss_weight': 0.10130698090601598}"
24,1.8410028399027432,1.8417008096295744,"[1.9276773319043583, 1.8521840893783899, 1.743147098425481]","[1.9291896162996387, 1.8521840893783899, 1.7437287232106944]","{'rf_lr': 2.633626471515203e-06, 'rf_lambda_intensity': 7.499670394392908, 'rf_lambda_binary': 0.640640404868216, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 40, 'rf_blender_loss_weight': 0.25670740953769877}"
33,1.8407216362013703,1.8408710967360447,"[1.9287661065168649, 1.8498068088578488, 1.7435919932293973]","[1.929191827874449, 1.8498068088578488, 1.7436146534758359]","{'rf_lr': 1.065789161816451e-06, 'rf_lambda_intensity': 49.313686900451415, 'rf_lambda_binary': 0.8100938912866857, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 93, 'rf_blender_loss_weight': 0.12808558088435906}"
32,1.840686029222035,1.8408636264897051,"[1.9286778609456712, 1.849951719205332, 1.7434285075151017]","[1.92919519186366, 1.849951719205332, 1.7434439684001228]","{'rf_lr': 1.1206764408091342e-06, 'rf_lambda_intensity': 43.899369142881405, 'rf_lambda_binary': 0.9399378919795142, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 90, 'rf_blender_loss_weight': 0.21589369400360459}"
30,1.8406826952283744,1.8408414023736566,"[1.9287175881373275, 1.8498914688777806, 1.7434390286700143]","[1.9291937095731746, 1.8498914688777806, 1.7434390286700143]","{'rf_lr': 1.0698135519633204e-06, 'rf_lambda_intensity': 43.20616178833387, 'rf_lambda_binary': 0.887773741263649, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 83, 'rf_blender_loss_weight': 0.21352961455135808}"
31,1.8406722850379387,1.8408269556424288,"[1.9287071049676747, 1.849885862619658, 1.7434238875264836]","[1.9291941838231133, 1.849885862619658, 1.7434008204845148]","{'rf_lr': 1.0841398551169153e-06, 'rf_lambda_intensity': 38.39894446474563, 'rf_lambda_binary': 0.9922569787507676, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 81, 'rf_blender_loss_weight': 0.20863688775038255}"
29,1.8406478718028403,1.8408009937760106,"[1.9287375307815244, 1.8497996264750696, 1.7434064581519269]","[1.9291944965476426, 1.8497996264750696, 1.7434088583053198]","{'rf_lr': 1.013367392534833e-06, 'rf_lambda_intensity': 39.70199945901275, 'rf_lambda_binary': 0.8684754780646323, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 64, 'rf_blender_loss_weight': 0.19556216564387868}"
41,1.840633380928623,1.8407967869325825,"[1.9287032346632733, 1.8497938071229552, 1.743403100999641]","[1.9291934526751517, 1.8497938071229552, 1.743403100999641]","{'rf_lr': 1.0067826608611441e-06, 'rf_lambda_intensity': 34.26672618017069, 'rf_lambda_binary': 0.3846758611084806, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 81, 'rf_blender_loss_weight': 0.17974951468542844}"
13,1.8397274715095044,1.8405283417063016,"[1.9275287401514065, 1.8489840605015844, 1.742669613875523]","[1.9291747693693995, 1.8489890828371356, 1.7434211729123703]","{'rf_lr': 2.764882350519917e-06, 'rf_lambda_intensity': 3.8952065480327955, 'rf_lambda_binary': 2.289585330435031, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 51, 'rf_blender_loss_weight': 0.4267718937375462}"
11,1.8396787536874906,1.8398587906842525,"[1.9284207751368836, 1.846935395275282, 1.7436800906503063]","[1.9292408397314156, 1.846923022435715, 1.743412509885627]","{'rf_lr': 1.6447270519614682e-06, 'rf_lambda_intensity': 6.430596138092509, 'rf_lambda_binary': 1.6579992363855267, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 21, 'rf_blender_loss_weight': 0.36814851212211197}"
22,1.839583809628003,1.8399276044853037,"[1.9284470559408171, 1.846705854483464, 1.7435985184597276]","[1.9292264337107659, 1.8466974762586628, 1.7438589034864822]","{'rf_lr': 2.017971206527918e-06, 'rf_lambda_intensity': 1.417056308966401, 'rf_lambda_binary': 1.5216956010154423, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 32, 'rf_blender_loss_weight': 0.2680742391068593}"
8,1.839420674249457,1.8394232183034662,"[1.9291348304993003, 1.8462900332814502, 1.7428371589676206]","[1.9291004339594378, 1.8463240048479905, 1.7428452161029706]","{'rf_lr': 1.6238587750675673e-06, 'rf_lambda_intensity': 1.4777283030362447, 'rf_lambda_binary': 1.9009027590644312, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 27, 'rf_blender_loss_weight': 2.2840269289684496}"
27,1.8392472098334371,1.8397926121863286,"[1.9279487332332053, 1.8467140503908208, 1.7430788458762856]","[1.9291077805363805, 1.846696388413199, 1.743573667609406]","{'rf_lr': 2.473156940908902e-06, 'rf_lambda_intensity': 4.188961993522669, 'rf_lambda_binary': 4.282074571253746, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 43, 'rf_blender_loss_weight': 0.6065881825336061}"
18,1.8359382258706372,1.8407993984486979,"[1.9303171392617458, 1.8370035485711642, 1.7404939897790008]","[1.9304444791053337, 1.8484926719807375, 1.7434610442600231]","{'rf_lr': 2.732149451867815e-06, 'rf_lambda_intensity': 10.32973026518777, 'rf_lambda_binary': 3.7608535399326994, 'rf_generator': 'shared_mlp', 'rf_noise_dim': 8, 'rf_hidden': 64, 'rf_n_layers': 2, 'rf_use_lr_decay': False, 'rf_tol': 37, 'rf_blender_loss_weight': 0.14759089951730778}"
2,1.8358169068411343,1.8463265167124179,"[1.9209621971040427, 1.865857285642953, 1.720631237776407]","[1.929245468054818, 1.8664032655662877, 1.7433308165161476]","{'rf_lr': 5.3351598486363615e-05, 'rf_lambda_intensity': 21.23217461477903, 'rf_lambda_binary': 0.6471512300517498, 'rf_generator': 'points', 'rf_use_lr_decay': True, 'rf_tol': 115, 'rf_blender_loss_weight': 0.3265427857959638}"
3,1.8355368571862487,1.8398907025161202,"[1.9298493168241504, 1.8413022601287727, 1.7354589946058234]","[1.9298493168241504, 1.8466961350823285, 1.7431266556418812]","{'rf_lr': 1.3324135208988602e-06, 'rf_lambda_intensity': 16.803640980102216, 'rf_lambda_binary': 0.10717967601598835, 'rf_generator': 'shared_mlp', 'rf_noise_dim': 16, 'rf_hidden': 64, 'rf_n_layers': 3, 'rf_use_lr_decay': True, 'rf_tol': 130, 'rf_blender_loss_weight': 1.307392983239843}"
1,1.8355056644542607,1.8409514640719846,"[1.9207660895622483, 1.8516381048141295, 1.7341127989864042]","[1.9291004339594378, 1.8511287878205247, 1.742625170435991]","{'rf_lr': 7.6113690710318965e-06, 'rf_lambda_intensity': 2.2477186403410023, 'rf_lambda_binary': 0.3328164334891756, 'rf_generator': 'points', 'rf_use_lr_decay': True, 'rf_tol': 123, 'rf_blender_loss_weight': 2.1221509567689263}"
23,1.8312797868713127,1.8405409568502815,"[1.9231647754540253, 1.835226101167364, 1.7354484839925484]","[1.9291747068662124, 1.8491799844584325, 1.7432681792262001]","{'rf_lr': 8.452168432939936e-06, 'rf_lambda_intensity': 2.494053553519987, 'rf_lambda_binary': 1.2227624189380297, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 34, 'rf_blender_loss_weight': 0.2639319081047767}"
10,1.8299684117138189,1.8407907042116796,"[1.9299166174594924, 1.832459442955845, 1.7275291747261199]","[1.9334229373510572, 1.8463240048479905, 1.742625170435991]","{'rf_lr': 0.001749187309384068, 'rf_lambda_intensity': 5.825529016520521, 'rf_lambda_binary': 5.890193440118554, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 97, 'rf_blender_loss_weight': 3.943214280210623}"
0,1.82891056535529,1.8417401663707604,"[1.9193258382246294, 1.845209895968904, 1.7221959618723361]","[1.9291004339594378, 1.8534948947168524, 1.742625170435991]","{'rf_lr': 9.453992995066298e-05, 'rf_lambda_intensity': 37.455593993726815, 'rf_lambda_binary': 1.0334933926887413, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 88, 'rf_blender_loss_weight': 1.796736977495091}"
5,1.8285108546976765,1.842395154434967,"[1.9354450787354185, 1.8341175455037337, 1.715969939853877]","[1.9382169982791828, 1.8464237319672199, 1.7425447330584982]","{'rf_lr': 7.618120783197984e-05, 'rf_lambda_intensity': 1.1845360333208292, 'rf_lambda_binary': 0.27909910175171154, 'rf_generator': 'shared_mlp', 'rf_noise_dim': 16, 'rf_hidden': 32, 'rf_n_layers': 3, 'rf_use_lr_decay': False, 'rf_tol': 30, 'rf_blender_loss_weight': 1.0777951413857148}"
4,1.8269850510169003,1.842594381915613,"[1.921400474090202, 1.8407428472581617, 1.7188118317023373]","[1.9291004339594378, 1.85481750090663, 1.7438652108807713]","{'rf_lr': 2.0215173308216735e-05, 'rf_lambda_intensity': 1.9624719234832748, 'rf_lambda_binary': 0.2206081726691874, 'rf_generator': 'points', 'rf_use_lr_decay': True, 'rf_tol': 40, 'rf_blender_loss_weight': 0.1838665661110277}"
19,1.826940266396006,1.8422510115887702,"[1.9194592823098722, 1.8428097275438224, 1.718551789334323]","[1.9291004339594378, 1.8542863929702578, 1.7433662078366154]","{'rf_lr': 3.7149553188235494e-05, 'rf_lambda_intensity': 3.3198244224449636, 'rf_lambda_binary': 0.6566930831527417, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 45, 'rf_blender_loss_weight': 0.38051107008285395}"
37,1.824934998567813,1.8413109386123612,"[1.9321651808966926, 1.8256492331906027, 1.7169905816161428]","[1.9321651808966926, 1.8491422104700477, 1.7426254244703427]","{'rf_lr': 1.7667078063586862e-06, 'rf_lambda_intensity': 26.568747321539142, 'rf_lambda_binary': 1.1966489925156627, 'rf_generator': 'shared_mlp', 'rf_noise_dim': 4, 'rf_hidden': 64, 'rf_n_layers': 2, 'rf_use_lr_decay': False, 'rf_tol': 111, 'rf_blender_loss_weight': 0.22702431803064596}"
6,1.824658601599097,1.842465319397758,"[1.9187246262043933, 1.8401455277789451, 1.7151056508139533]","[1.9291004339594378, 1.8556703537978452, 1.742625170435991]","{'rf_lr': 0.0031084929263490695, 'rf_lambda_intensity': 1.8614173253834283, 'rf_lambda_binary': 0.13819970483025346, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 71, 'rf_blender_loss_weight': 2.297194705214935}"
20,1.8224445491204,1.8402693125710765,"[1.9293978526794118, 1.7937646888703116, 1.7441711058114766]","[1.9291004339594378, 1.8478810285228495, 1.7438264752309416]","{'rf_lr': 0.0002436020081743723, 'rf_lambda_intensity': 4.580539461800102, 'rf_lambda_binary': 9.515660196604498, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 62, 'rf_blender_loss_weight': 0.7397945568106393}"
9,1.8114712707459528,1.8422142626116134,"[1.9342611227119406, 1.8036048763346366, 1.6965478131912812]","[1.9361238161715792, 1.8478067672907748, 1.7427122043724854]","{'rf_lr': 1.7354135315124794e-05, 'rf_lambda_intensity': 17.963650971185572, 'rf_lambda_binary': 0.1259044477994569, 'rf_generator': 'shared_mlp', 'rf_noise_dim': 16, 'rf_hidden': 32, 'rf_n_layers': 4, 'rf_use_lr_decay': True, 'rf_tol': 138, 'rf_blender_loss_weight': 0.7891029024075206}"
48,1.8033008677432603,1.8417305097293672,"[1.9336565834107673, 1.8037238358015288, 1.6725221840174846]","[1.9339293670927487, 1.8481441874080258, 1.7431179746873275]","{'rf_lr': 1.4511493594406341e-06, 'rf_lambda_intensity': 25.135377111059526, 'rf_lambda_binary': 0.5602832668653587, 'rf_generator': 'shared_mlp', 'rf_noise_dim': 4, 'rf_hidden': 128, 'rf_n_layers': 4, 'rf_use_lr_decay': False, 'rf_tol': 94, 'rf_blender_loss_weight': 0.2944190398497616}"
15,1.7365204277692332,1.8404583909376353,"[1.9236143701091466, 1.5545195735860977, 1.7314273396124555]","[1.9291004339594378, 1.8483001542076796, 1.7439745846457888]","{'rf_lr': 0.0003937444930780637, 'rf_lambda_intensity': 3.487299318487221, 'rf_lambda_binary': 3.249610177671608, 'rf_generator': 'points', 'rf_use_lr_decay': False, 'rf_tol': 49, 'rf_blender_loss_weight': 0.4972716151559078}"
